date,device_category,source,medium,source_medium,channel_group,user_type,sessions,users,purchasers,purchase_sessions,orders,revenue,session_cvr,user_cvr,aov,revenue_per_session
2020-11-01,desktop,(direct),(none),(direct) / (none),Direct,New,347,339,2,2,2,159.0,0.005763688760806916,0.0058997050147492625,79.5,0.45821325648414984
2020-11-01,desktop,<Other>,organic,<Other> / organic,Organic Search,New,50,50,0,0,0,0.0,0.0,0.0,,0.0
2020-11-01,desktop,google,organic,google / organic,Organic Search,New,496,482,2,2,2,95.0,0.004032258064516129,0.004149377593360996,47.5,0.19153225806451613
2020-11-01,desktop,(data deleted),(data deleted),(data deleted) / (data deleted),Other,New,75,73,1,1,1,60.0,0.013333333333333334,0.0136986301369863,60.0,0.8
2020-11-01,desktop,<Other>,(data deleted),<Other> / (data deleted),Other,New,1,1,0,0,0,0.0,0.0,0.0,,0.0
2020-11-01,desktop,<Other>,<Other>,<Other> / <Other>,Other,New,201,200,0,0,0,0.0,0.0,0.0,,0.0
2020-11-01,desktop,google,cpc,google / cpc,Paid Search,New,68,68,0,0,0,0.0,0.0,0.0,,0.0
2020-11-01,desktop,<Other>,referral,<Other> / referral,Referral,New,164,162,2,2,2,73.0,0.012195121951219513,0.012345679012345678,36.5,0.4451219512195122
2020-11-01,desktop,shop.googlemerchandisestore.com,referral,shop.googlemerchandisestore.com / referral,Referral,New,126,122,2,2,2,179.0,0.015873015873015872,0.01639344262295082,89.5,1.4206349206349207
2020-11-01,mobile,(direct),(none),(direct) / (none),Direct,New,265,253,3,3,4,173.0,0.011320754716981131,0.011857707509881422,43.25,0.6528301886792452
2020-11-01,mobile,<Other>,organic,<Other> / organic,Organic Search,New,34,34,0,0,0,0.0,0.0,0.0,,0.0
2020-11-01,mobile,google,organic,google / organic,Organic Search,New,323,319,0,0,0,0.0,0.0,0.0,,0.0
2020-11-01,mobile,(data deleted),(data deleted),(data deleted) / (data deleted),Other,New,52,51,0,0,0,0.0,0.0,0.0,,0.0
2020-11-01,mobile,<Other>,(data deleted),<Other> / (data deleted),Other,New,2,2,0,0,0,0.0,0.0,0.0,,0.0
2020-11-01,mobile,<Other>,<Other>,<Other> / <Other>,Other,New,157,155,1,1,1,34.0,0.006369426751592357,0.0064516129032258064,34.0,0.21656050955414013
2020-11-01,mobile,google,cpc,google / cpc,Paid Search,New,38,37,0,0,0,0.0,0.0,0.0,,0.0
2020-11-01,mobile,<Other>,referral,<Other> / referral,Referral,New,90,90,0,0,0,0.0,0.0,0.0,,0.0
2020-11-01,mobile,shop.googlemerchandisestore.com,referral,shop.googlemerchandisestore.com / referral,Referral,New,86,85,0,0,0,0.0,0.0,0.0,,0.0
2020-11-01,tablet,(direct),(none),(direct) / (none),Direct,New,6,6,0,0,0,0.0,0.0,0.0,,0.0
2020-11-01,tablet,<Other>,organic,<Other> / organic,Organic Search,New,5,5,0,0,0,0.0,0.0,0.0,,0.0
2020-11-01,tablet,google,organic,google / organic,Organic Search,New,10,10,0,0,0,0.0,0.0,0.0,,0.0
2020-11-01,tablet,(data deleted),(data deleted),(data deleted) / (data deleted),Other,New,2,2,0,0,0,0.0,0.0,0.0,,0.0
2020-11-01,tablet,<Other>,<Other>,<Other> / <Other>,Other,New,13,13,0,0,0,0.0,0.0,0.0,,0.0
2020-11-01,tablet,google,cpc,google / cpc,Paid Search,New,2,2,0,0,0,0.0,0.0,0.0,,0.0
2020-11-01,tablet,<Other>,referral,<Other> / referral,Referral,New,6,6,0,0,0,0.0,0.0,0.0,,0.0
2020-11-01,tablet,shop.googlemerchandisestore.com,referral,shop.googlemerchandisestore.com / referral,Referral,New,6,6,0,0,0,0.0,0.0,0.0,,0.0
2020-11-02,desktop,(direct),(none),(direct) / (none),Direct,New,463,455,4,4,7,299.0,0.008639308855291577,0.008791208791208791,42.714285714285715,0.6457883369330454
2020-11-02,desktop,(direct),(none),(direct) / (none),Direct,Returning,19,18,0,0,0,0.0,0.0,0.0,,0.0
2020-11-02,desktop,<Other>,organic,<Other> / organic,Organic Search,New,60,60,1,1,1,20.0,0.016666666666666666,0.016666666666666666,20.0,0.3333333333333333
2020-11-02,desktop,<Other>,organic,<Other> / organic,Organic Search,Returning,2,2,0,0,0,0.0,0.0,0.0,,0.0
2020-11-02,desktop,google,organic,google / organic,Organic Search,New,597,578,5,5,5,340.0,0.008375209380234505,0.00865051903114187,68.0,0.5695142378559463
2020-11-02,desktop,google,organic,google / organic,Organic Search,Returning,22,20,1,1,1,32.0,0.045454545454545456,0.05,32.0,1.4545454545454546
2020-11-02,desktop,(data deleted),(data deleted),(data deleted) / (data deleted),Other,New,144,136,3,4,8,1816.0,0.027777777777777776,0.022058823529411766,227.0,12.61111111111111
2020-11-02,desktop,(data deleted),(data deleted),(data deleted) / (data deleted),Other,Returning,9,9,1,1,1,86.0,0.1111111111111111,0.1111111111111111,86.0,9.555555555555555
2020-11-02,desktop,<Other>,(data deleted),<Other> / (data deleted),Other,New,4,4,0,0,0,0.0,0.0,0.0,,0.0
2020-11-02,desktop,<Other>,(data deleted),<Other> / (data deleted),Other,Returning,1,1,0,0,0,0.0,0.0,0.0,,0.0
2020-11-02,desktop,<Other>,<Other>,<Other> / <Other>,Other,New,321,320,2,2,2,134.0,0.006230529595015576,0.00625,67.0,0.4174454828660436
2020-11-02,desktop,<Other>,<Other>,<Other> / <Other>,Other,Returning,5,5,0,0,0,0.0,0.0,0.0,,0.0
2020-11-02,desktop,google,cpc,google / cpc,Paid Search,New,93,93,1,1,1,51.0,0.010752688172043012,0.010752688172043012,51.0,0.5483870967741935
2020-11-02,desktop,<Other>,referral,<Other> / referral,Referral,New,214,211,2,2,2,97.0,0.009345794392523364,0.009478672985781991,48.5,0.4532710280373832
2020-11-02,desktop,<Other>,referral,<Other> / referral,Referral,Returning,10,10,0,0,0,0.0,0.0,0.0,,0.0
2020-11-02,desktop,shop.googlemerchandisestore.com,referral,shop.googlemerchandisestore.com / referral,Referral,New,176,172,3,3,3,453.0,0.017045454545454544,0.01744186046511628,151.0,2.5738636363636362
2020-11-02,desktop,shop.googlemerchandisestore.com,referral,shop.googlemerchandisestore.com / referral,Referral,Returning,19,19,0,0,0,0.0,0.0,0.0,,0.0
2020-11-02,mobile,(direct),(none),(direct) / (none),Direct,New,327,316,3,3,4,333.0,0.009174311926605505,0.00949367088607595,83.25,1.018348623853211
2020-11-02,mobile,(direct),(none),(direct) / (none),Direct,Returning,11,10,0,0,0,0.0,0.0,0.0,,0.0
2020-11-02,mobile,<Other>,organic,<Other> / organic,Organic Search,New,47,47,0,0,0,0.0,0.0,0.0,,0.0
2020-11-02,mobile,<Other>,organic,<Other> / organic,Organic Search,Returning,1,1,0,0,0,0.0,0.0,0.0,,0.0
