date,sessions,users,purchasers,purchase_sessions,orders,revenue,session_cvr,user_cvr,aov,revenue_per_session
2020-11-01,2625,2365,13,13,13,773.0,0.004952380952380952,0.0054968287526427064,59.46153846153846,0.2944761904761905
2020-11-02,3731,3262,39,40,40,4789.0,0.010720986330742428,0.011955855303494788,119.725,1.2835700884481371
2020-11-03,5356,4648,46,46,46,3313.0,0.008588498879761016,0.009896729776247849,72.02173913043478,0.6185586258401793
2020-11-04,4344,3734,30,30,30,2197.0,0.006906077348066298,0.008034279592929834,73.23333333333333,0.5057550644567219
2020-11-05,3846,3272,26,26,26,1792.0,0.006760270410816433,0.007946210268948655,68.92307692307692,0.4659386375455018
2020-11-06,3332,2813,48,48,48,3438.0,0.014405762304921969,0.017063633131887666,71.625,1.031812725090036
2020-11-07,2283,2004,28,28,28,2531.0,0.012264564169951819,0.013972055888223553,90.39285714285714,1.108628996933859
2020-11-08,2170,1919,31,31,31,3760.0,0.014285714285714285,0.01615424700364773,121.29032258064517,1.7327188940092166
2020-11-09,3282,2805,40,42,42,2154.0,0.012797074954296161,0.0142602495543672,51.285714285714285,0.6563071297989032
2020-11-10,3835,3260,64,64,64,4041.0,0.016688396349413298,0.0196319018404908,63.140625,1.053715775749674
2020-11-11,3820,3296,63,63,63,4428.0,0.016492146596858638,0.01911407766990291,70.28571428571429,1.1591623036649215
2020-11-12,3702,3179,51,51,51,3349.0,0.013776337115072933,0.016042780748663103,65.66666666666667,0.9046461372231226
2020-11-13,3347,2860,66,69,69,5831.0,0.020615476546160742,0.023076923076923078,84.5072463768116,1.7421571556617867
2020-11-14,2369,2076,29,29,29,2338.0,0.012241452089489235,0.013969171483622351,80.62068965517241,0.9869143098353735
2020-11-15,2214,1957,21,21,21,1483.0,0.009485094850948509,0.010730710270822688,70.61904761904762,0.6698283649503162
2020-11-16,3541,3085,68,69,69,5046.0,0.019486020898051397,0.022042139384116692,73.1304347826087,1.425021180457498
2020-11-17,4079,3449,85,85,85,6227.0,0.02083844079431233,0.024644824586836766,73.25882352941177,1.5265996567786222
2020-11-18,4133,3505,49,50,50,4575.0,0.012097749818533753,0.013980028530670471,91.5,1.1069441083958385
2020-11-19,4197,3566,44,44,44,5752.0,0.010483678818203479,0.012338754907459339,130.72727272727272,1.3705027400524183
2020-11-20,4141,3477,64,64,64,8792.0,0.015455204056991065,0.018406672418751796,137.375,2.1231586573291477
2020-11-21,3198,2755,35,35,35,4336.0,0.010944340212632896,0.012704174228675136,123.88571428571429,1.3558474046278923
2020-11-22,2689,2359,29,29,29,3428.0,0.010784678319077723,0.012293344637558287,118.20689655172414,1.2748233544068428
2020-11-23,3968,3421,62,62,62,8482.0,0.015625,0.018123355743934522,136.80645161290323,2.137600806451613
2020-11-24,4441,3821,96,97,97,10345.0,0.0218419274938077,0.025124313007066214,106.64948453608247,2.329430308489079
2020-11-25,4619,3988,84,86,86,8121.0,0.018618748646893266,0.02106318956870612,94.43023255813954,1.758172764667677
2020-11-26,4190,3626,54,55,55,4133.0,0.013126491646778043,0.014892443463872035,75.14545454545454,0.9863961813842482
2020-11-27,3985,3512,89,90,90,6699.0,0.02258469259723965,0.025341685649202732,74.43333333333334,1.6810539523212045
2020-11-28,3396,3010,73,75,75,6255.0,0.022084805653710248,0.02425249169435216,83.4,1.8418727915194346
2020-11-29,3262,2887,48,49,49,3862.0,0.015021459227467811,0.01662625562868029,78.81632653061224,1.1839362354383813
2020-11-30,4593,3971,126,127,127,11990.0,0.0276507729153059,0.03173004281037522,94.40944881889764,2.6104942303505334
2020-12-01,5000,4308,98,100,100,6258.0,0.02,0.02274837511606314,62.58,1.2516
2020-12-02,4814,4101,74,75,75,5201.0,0.01557955961778147,0.01804437941965374,69.34666666666666,1.0803905276277523
2020-12-03,5200,4464,86,86,86,4317.0,0.01653846153846154,0.019265232974910396,50.19767441860465,0.8301923076923077
2020-12-04,4725,4131,85,86,86,6458.0,0.0182010582010582,0.0205761316872428,75.09302325581395,1.3667724867724869
2020-12-05,3510,3082,76,77,77,6396.0,0.021937321937321938,0.02465931213497729,83.06493506493507,1.8222222222222222
2020-12-06,3339,2948,40,40,40,2328.0,0.011979634621144056,0.013568521031207599,58.2,0.6972147349505841
2020-12-07,5461,4709,89,91,91,8472.0,0.016663614722578282,0.018899978764068806,93.0989010989011,1.5513642190075079
2020-12-08,7588,6689,110,111,111,8695.0,0.014628360569319978,0.016444909552997457,78.33333333333333,1.1458882445967318
2020-12-09,6290,5531,126,131,131,10863.0,0.02082670906200318,0.022780690652684867,82.92366412213741,1.727027027027027
